future_id,U_headroom_mult,U_inc_mult,U_upgrade_capex_mult,U_voll,U_consents_uplift
0,0.85,1.0,1.0,10000.0,1.25
1,0.90,0.95,0.90,10000.0,1.30
2,0.95,1.05,1.10,15000.0,1.20
3,0.80,1.10,1.20,15000.0,1.40
4,0.90,1.0,1.0,20000.0,1.25
5,0.85,1.05,1.15,10000.0,1.35
6,0.95,0.95,0.95,15000.0,1.15
7,0.88,1.08,1.05,15000.0,1.28
8,0.92,0.98,1.08,10000.0,1.22
9,0.87,1.02,0.92,20000.0,1.32
10,0.93,1.03,1.12,15000.0,1.18
11,0.86,0.97,1.03,10000.0,1.27
12,0.91,1.06,0.88,15000.0,1.23
13,0.89,1.01,1.18,20000.0,1.29
14,0.94,0.99,1.06,10000.0,1.21
15,0.88,1.04,0.97,15000.0,1.26
16,0.92,1.07,1.14,15000.0,1.24
17,0.86,0.96,1.01,20000.0,1.31
18,0.90,1.09,1.07,10000.0,1.19
19,0.95,1.0,0.94,15000.0,1.33
20,0.87,1.02,1.11,15000.0,1.17


