timestamp_utc,site_id,heat_demand_MW,seasonal_factor,weekday_factor,hourly_factor,weekly_factor,noise_factor
2028-01-01T00:00:00Z,11_031,105.40722596990945,1.03,0.99,0.98,0.9185324872280993,1.0049671415301122
2028-01-01T01:00:00Z,11_031,104.74122093710685,1.03,0.99,0.98,0.9185324872280993,0.9986173569882881
2028-01-01T02:00:00Z,11_031,105.56557732755249,1.03,0.99,0.98,0.9185324872280993,1.0064768853810069
2028-01-01T03:00:00Z,11_031,107.02697406600818,1.03,0.99,0.985,0.9185324872280993,1.0152302985640802
2028-01-01T04:00:00Z,11_031,105.7084081910693,1.03,0.99,0.99,0.9185324872280993,0.9976584662527667
2028-01-01T05:00:00Z,11_031,106.24230652407657,1.03,0.99,0.995,0.9185324872280993,0.9976586304305082
2028-01-01T06:00:00Z,11_031,107.62978770039959,1.03,0.99,0.99,0.9185324872280993,1.015792128155074
2028-01-01T07:00:00Z,11_031,107.83735253961773,1.03,0.99,0.9999,0.9185324872280993,1.007674347291529
2028-01-01T08:00:00Z,11_031,107.56825166806097,1.03,0.99,1.0098,0.9185324872280993,0.9953052561406505
2028-01-01T09:00:00Z,11_031,109.72732821192551,1.03,0.99,1.0197,0.9185324872280993,1.0054256004358597
2028-01-01T10:00:00Z,11_031,109.16210633349702,1.03,0.99,1.0247,0.9185324872280993,0.9953658230718754
2028-01-01T11:00:00Z,11_031,109.6815594623121,1.03,0.99,1.0296,0.9185324872280993,0.9953427024642975
2028-01-01T12:00:00Z,11_031,110.46139905669315,1.03,0.99,1.0296,0.9185324872280993,1.0024196227156603
2028-01-01T13:00:00Z,11_031,108.08643453830521,1.03,0.99,1.0296,0.9185324872280993,0.980867197553422
2028-01-01T14:00:00Z,11_031,107.77861486535797,1.03,0.99,1.0247,0.9185324872280993,0.9827508216748697
2028-01-01T15:00:00Z,11_031,108.52155055721714,1.03,0.99,1.0197,0.9185324872280993,0.9943771247075903
2028-01-01T16:00:00Z,11_031,108.59134560291449,1.03,0.99,1.025,0.9185324872280993,0.9898716887966558
2028-01-01T17:00:00Z,11_031,109.51036760021735,1.03,0.99,1.02,0.9185324872280993,1.0031424733259526
2028-01-01T18:00:00Z,11_031,108.18665225055854,1.03,0.99,1.0201,0.9185324872280993,0.9909197592447879
2028-01-01T19:00:00Z,11_031,107.10851359763984,1.03,0.99,1.0151,0.9185324872280993,0.9858769629866471
2028-01-01T20:00:00Z,11_031,109.68136746792638,1.03,0.99,1.01,0.9185324872280993,1.0146564876892155
2028-01-01T21:00:00Z,11_031,107.31906128051887,1.03,0.99,1.005,0.9185324872280993,0.9977422369951346
2028-01-01T22:00:00Z,11_031,106.02805946070582,1.03,0.99,0.99,0.9185324872280993,1.0006752820468792
2028-01-01T23:00:00Z,11_031,103.9193859200848,1.03,0.99,0.985,0.9185324872280993,0.9857525181378655
2028-01-02T00:00:00Z,11_031,103.78841384782605,1.03,0.985,0.98,0.9185324872280993,0.9945561727547482
2028-01-02T01:00:00Z,11_031,104.47226762113402,1.03,0.985,0.98,0.9185324872280993,1.0011092258970986
2028-01-02T02:00:00Z,11_031,103.15537591623611,1.03,0.985,0.98,0.9185324872280993,0.988490064225777
2028-01-02T03:00:00Z,11_031,105.28300954541305,1.03,0.985,0.985,0.9185324872280993,1.0037569801834567
2028-01-02T04:00:00Z,11_031,104.78817348298782,1.03,0.985,0.99,0.9185324872280993,0.9939936131008119
2028-01-02T05:00:00Z,11_031,105.64474560563364,1.03,0.985,0.995,0.9185324872280993,0.9970830625020672
2028-01-02T06:00:00Z,11_031,104.78704766460355,1.03,0.985,0.99,0.9185324872280993,0.993982933877706
2028-01-02T07:00:00Z,11_031,108.44781290262611,1.03,0.985,0.9999,0.9185324872280993,1.0185227818450895
2028-01-02T08:00:00Z,11_031,107.5152890108455,1.03,0.985,1.0098,0.9185324872280993,0.9998650277526206
2028-01-02T09:00:00Z,11_031,107.43551129293658,1.03,0.985,1.0197,0.9185324872280993,0.989422890710441
2028-01-02T10:00:00Z,11_031,110.0139792746384,1.03,0.985,1.0247,0.9185324872280993,1.0082254491210318
2028-01-02T11:00:00Z,11_031,108.29971868141797,1.03,0.985,1.0296,0.9185324872280993,0.9877915635002897
2028-01-02T12:00:00Z,11_031,109.86722439971942,1.03,0.985,1.0296,0.9185324872280993,1.0020886359500476
2028-01-02T13:00:00Z,11_031,107.48968241227668,1.03,0.985,1.0296,0.9185324872280993,0.9804032987612022
2028-01-02T14:00:00Z,11_031,107.66717805497834,1.03,0.985,1.0247,0.9185324872280993,0.9867181395110157
2028-01-02T15:00:00Z,11_031,108.79777613689107,1.03,0.985,1.0197,0.9185324872280993,1.0019686123586913
2028-01-02T16:00:00Z,11_031,109.95441776634524,1.03,0.985,1.025,0.9185324872280993,1.0073846657999541
2028-01-02T17:00:00Z,11_031,108.80209547914419,1.03,0.985,1.02,0.9185324872280993,1.0017136828118998
2028-01-02T18:00:00Z,11_031,108.5009859858135,1.03,0.985,1.0201,0.9185324872280993,0.9988435171761176
2028-01-02T19:00:00Z,11_031,107.7687040387814,1.03,0.985,1.0151,0.9185324872280993,0.9969889630441071
2028-01-02T20:00:00Z,11_031,105.96093313605336,1.03,0.985,1.01,0.9185324872280993,0.9852147800963257
2028-01-02T21:00:00Z,11_031,106.24830092243194,1.03,0.985,1.005,0.9185324872280993,0.992801557916053
2028-01-02T22:00:00Z,11_031,104.93576332262188,1.03,0.985,0.99,0.9185324872280993,0.9953936122904021
2028-01-02T23:00:00Z,11_031,105.99774820027035,1.03,0.985,0.985,0.9185324872280993,1.0105712222621892
2028-01-03T00:00:00Z,11_031,115.73869016174767,1.03,1.0,0.98,1.0,1.0034361828956846
2028-01-03T01:00:00Z,11_031,113.30882074712373,1.03,1.0,0.98,1.0,0.9823695984463726
2028-01-03T02:00:00Z,11_031,115.71615881726721,1.03,1.0,0.98,1.0,1.003240839693948
2028-01-03T03:00:00Z,11_031,115.48440503386107,1.03,1.0,0.985,1.0,0.9961491771958368
2028-01-03T04:00:00Z,11_031,115.73057064379404,1.03,1.0,0.99,1.0,0.9932307799969404
2028-01-03T05:00:00Z,11_031,117.82411754285486,1.03,1.0,0.995,1.0,1.0061167628884087
2028-01-03T06:00:00Z,11_031,117.7206291118702,1.03,1.0,0.99,1.0,1.0103099952249595
2028-01-03T07:00:00Z,11_031,118.78048111306238,1.03,1.0,0.9999,1.0,1.009312801191162
2028-01-03T08:00:00Z,11_031,117.85229431159074,1.03,1.0,1.0098,1.0,0.9916078247677736
2028-01-03T09:00:00Z,11_031,119.6437940827688,1.03,1.0,1.0197,1.0,0.9969078762414878
2028-01-03T10:00:00Z,11_031,121.00289126548019,1.03,1.0,1.0247,1.0,1.0033126343140357
2028-01-03T11:00:00Z,11_031,122.36225459115036,1.03,1.0,1.0296,1.0,1.0097554512712237
2028-01-03T12:00:00Z,11_031,120.59942438240276,1.03,1.0,1.0296,1.0,0.9952082576215471
2028-01-03T13:00:00Z,11_031,120.95510643462501,1.03,1.0,1.0296,1.0,0.9981434102333618
2028-01-03T14:00:00Z,11_031,119.26909904973544,1.03,1.0,1.0247,1.0,0.9889366502599397
2028-01-03T15:00:00Z,11_031,118.5792688671805,1.03,1.0,1.0197,1.0,0.9880379337591932
2028-01-03T16:00:00Z,11_031,121.61890573556242,1.03,1.0,1.025,1.0,1.008125258223942
2028-01-03T17:00:00Z,11_031,121.67837279376413,1.03,1.0,1.02,1.0,1.0135624002857082
2028-01-03T18:00:00Z,11_031,119.9755167291782,1.03,1.0,1.0201,1.0,0.9992798987841967
2028-01-03T19:00:00Z,11_031,120.67244790831917,1.03,1.0,1.0151,1.0,1.0100353289789203
2028-01-03T20:00:00Z,11_031,119.30312955528346,1.03,1.0,1.01,1.0,1.0036163602504764
2028-01-03T21:00:00Z,11_031,117.52168134830332,1.03,1.0,1.005,1.0,0.9935488024539487
2028-01-03T22:00:00Z,11_031,116.94041121106645,1.03,1.0,0.99,1.0,1.003613956055084
2028-01-03T23:00:00Z,11_031,117.71389275443309,1.03,1.0,0.985,1.0,1.0153803656646596
2028-01-04T00:00:00Z,11_031,115.30103014570349,1.03,1.0,0.98,1.0,0.9996417396089005
2028-01-04T01:00:00Z,11_031,117.14704954675321,1.03,1.0,0.98,1.0,1.0156464365581401
2028-01-04T02:00:00Z,11_031,112.32067710320393,1.03,1.0,0.98,1.0,0.9738025489591026
2028-01-04T03:00:00Z,11_031,116.88367256273612,1.03,1.0,0.985,1.0,1.0082190250437522
2028-01-04T04:00:00Z,11_031,116.6207421732858,1.03,1.0,0.99,1.0,1.0008704706823817
2028-01-04T05:00:00Z,11_031,116.75763599598163,1.03,1.0,0.995,1.0,0.9970099264953414
2028-01-04T06:00:00Z,11_031,116.6262345539297,1.03,1.0,0.99,1.0,1.000917607765355
2028-01-04T07:00:00Z,11_031,115.34544796860858,1.03,1.0,0.9999,1.0,0.9801243108539911
2028-01-04T08:00:00Z,11_031,118.58862245198202,1.03,1.0,1.0098,1.0,0.9978032811216249
2028-01-04T09:00:00Z,11_031,120.44348326864494,1.03,1.0,1.0197,1.0,1.0035711257151174
2028-01-04T10:00:00Z,11_031,122.38576649980098,1.03,1.0,1.0247,1.0,1.0147789404474152
2028-01-04T11:00:00Z,11_031,120.55204783885804,1.03,1.0,1.0296,1.0,0.9948172978172636
2028-01-04T12:00:00Z,11_031,120.2003548855552,1.03,1.0,1.0296,1.0,0.9919150639710681
2028-01-04T13:00:00Z,11_031,120.57205851850203,1.03,1.0,1.0296,1.0,0.9949824295641546
2028-01-04T14:00:00Z,11_031,121.70738224391249,1.03,1.0,1.0247,1.0,1.0091540211770207
2028-01-04T15:00:00Z,11_031,120.4094452899853,1.03,1.0,1.0197,1.0,1.0032875110965969
2028-01-04T16:00:00Z,11_031,119.99958952109256,1.03,1.0,1.025,1.0,0.9947023979623296
2028-01-04T17:00:00Z,11_031,120.66638247431179,1.03,1.0,1.02,1.0,1.0051326743311335
2028-01-04T18:00:00Z,11_031,120.17852672384385,1.03,1.0,1.0201,1.0,1.0009707754934805
2028-01-04T19:00:00Z,11_031,120.63076610707284,1.03,1.0,1.0151,1.0,1.0096864499053289
2028-01-04T20:00:00Z,11_031,118.03868782448124,1.03,1.0,1.01,1.0,0.9929794690612265
2028-01-04T21:00:00Z,11_031,117.8971853170836,1.03,1.0,1.005,1.0,0.9967233785340223
2028-01-04T22:00:00Z,11_031,116.0624337890419,1.03,1.0,0.99,1.0,0.9960789184686785
2028-01-04T23:00:00Z,11_031,114.23416904660839,1.03,1.0,0.985,1.0,0.9853648505186788
2028-01-05T00:00:00Z,11_031,115.68390483661996,1.03,1.0,0.98,1.0,1.0029612027706458
2028-01-05T01:00:00Z,11_031,115.64346003499682,1.03,1.0,0.98,1.0,1.002610552721799
2028-01-05T02:00:00Z,11_031,115.34825072330509,1.03,1.0,0.98,1.0,1.0000511345664247
2028-01-05T03:00:00Z,11_031,115.65887531315657,1.03,1.0,0.985,1.0,0.9976541286662486
2028-01-05T04:00:00Z,11_031,114.870135224409,1.03,1.0,0.99,1.0,0.9858462925794959
2028-01-05T05:00:00Z,11_031,116.61518844640753,1.03,1.0,0.995,1.0,0.9957935467723464
2028-01-05T06:00:00Z,11_031,116.1199869163275,1.03,1.0,0.99,1.0,0.9965728548347323
2028-01-05T07:00:00Z,11_031,116.74035261790353,1.03,1.0,0.9999,1.0,0.9919772273077838
2028-01-05T08:00:00Z,11_031,118.65801424827514,1.03,1.0,1.0098,1.0,0.99838714288334
2028-01-05T09:00:00Z,11_031,120.49981620246163,1.03,1.0,1.0197,1.0,1.0040405085681454
2028-01-05T10:00:00Z,11_031,122.87818026419733,1.03,1.0,1.0247,1.0,1.0188618590121052
2028-01-05T11:00:00Z,11_031,121.39164169367085,1.03,1.0,1.0296,1.0,1.0017457781283183
2028-01-05T12:00:00Z,11_031,121.49218793669627,1.03,1.0,1.0296,1.0,1.0025755039072277
2028-01-05T13:00:00Z,11_031,121.08987451985088,1.03,1.0,1.0296,1.0,0.9992555408423384
2028-01-05T14:00:00Z,11_031,118.28927351178108,1.03,1.0,1.0247,1.0,0.9808122878470096
2028-01-05T15:00:00Z,11_031,119.98307439116724,1.03,1.0,1.0197,1.0,0.9997348612455078
2028-01-05T16:00:00Z,11_031,120.71134619938529,1.03,1.0,1.025,1.0,1.0006023020994104
2028-01-05T17:00:00Z,11_031,123.00733105239769,1.03,1.0,1.02,1.0,1.0246324211248528
2028-01-05T18:00:00Z,11_031,119.83102113170472,1.03,1.0,1.0201,1.0,0.9980763903521888
2028-01-05T19:00:00Z,11_031,119.83376125098063,1.03,1.0,1.0151,1.0,1.003015473423336
2028-01-05T20:00:00Z,11_031,118.8319780856666,1.03,1.0,1.01,1.0,0.9996528823029476
2028-01-05T21:00:00Z,11_031,116.90239169135126,1.03,1.0,1.005,1.0,0.9883132196238047
2028-01-05T22:00:00Z,11_031,117.85092484632854,1.03,1.0,0.99,1.0,1.01142822814515
2028-01-05T23:00:00Z,11_031,116.80255637056878,1.03,1.0,0.985,1.0,1.0075193303268677
