future_id,selected_upgrade_name_EB,selected_upgrade_name_BB,selected_capacity_MW_EB,selected_capacity_MW_BB,annualised_upgrade_cost_nzd_EB,annualised_upgrade_cost_nzd_BB,annual_incremental_MWh_EB,annual_incremental_MWh_BB,annual_shed_MWh_EB,annual_shed_MWh_BB,shed_fraction_EB,shed_fraction_BB,annual_shed_cost_nzd_EB,annual_shed_cost_nzd_BB,total_cost_nzd_EB,total_cost_nzd_BB,n_hours_binding_EB,n_hours_binding_BB,unserved_peak_MW_EB,unserved_peak_MW_BB,epoch_tag_EB,strategy_id_EB,strategy_label_EB,epoch_tag_BB,strategy_id_BB,strategy_label_BB
0,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,150.0,97.0,7032106.769400966,5241263.57879352,827272.7272727272,592939.5973030096,0.0,0.0,0.0,0.0,0.0,0.0,7032106.769400966,5241263.57879352,0,0,0.0,0.0,2035_EB,S_AUTO,Auto-select upgrade (min cost),2035_BB,S_AUTO,Auto-select upgrade (min cost)
1,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,97.0,97.0,4905822.709750735,4905822.709750735,785909.0909090908,563292.6174378591,0.0,0.0,0.0,0.0,0.0,0.0,4905822.709750735,4905822.709750735,0,0,0.0,0.0,2035_EB,S_AUTO,Auto-select upgrade (min cost),2035_BB,S_AUTO,Auto-select upgrade (min cost)
2,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,150.0,97.0,7425904.748487421,5534774.339205958,868636.3636363635,622586.5771681601,0.0,0.0,0.0,0.0,0.0,0.0,7425904.748487421,5534774.339205958,0,0,0.0,0.0,2035_EB,S_AUTO,Auto-select upgrade (min cost),2035_BB,S_AUTO,Auto-select upgrade (min cost)
3,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,150.0,97.0,9451151.498074898,7044258.249898491,910000.0,652233.5570333105,0.0,0.0,0.0,0.0,0.0,0.0,9451151.498074898,7044258.249898491,0,0,0.0,0.0,2035_EB,S_AUTO,Auto-select upgrade (min cost),2035_BB,S_AUTO,Auto-select upgrade (min cost)
4,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,97.0,97.0,5241263.57879352,5241263.57879352,827272.7272727272,592939.5973030096,55.88102048825779,0.0,6.754848630448744e-05,0.0,1117620.4097651558,0.0,6358883.988558676,5241263.57879352,49,0,4.228937925508404,0.0,2035_EB,S_AUTO,Auto-select upgrade (min cost),2035_BB,S_AUTO,Auto-select upgrade (min cost)
5,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,150.0,97.0,8733876.607596003,6509649.364861553,868636.3636363635,622586.5771681601,0.0,0.0,0.0,0.0,0.0,0.0,8733876.607596003,6509649.364861553,0,0,0.0,0.0,2035_EB,S_AUTO,Auto-select upgrade (min cost),2035_BB,S_AUTO,Auto-select upgrade (min cost)
6,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,97.0,97.0,4580864.367865536,4580864.367865536,785909.0909090908,563292.6174378591,0.0,0.0,0.0,0.0,0.0,0.0,4580864.367865536,4580864.367865536,0,0,0.0,0.0,2035_EB,S_AUTO,Auto-select upgrade (min cost),2035_BB,S_AUTO,Auto-select upgrade (min cost)
7,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,150.0,97.0,7560921.19845992,5635406.599918793,893454.5454545454,640374.7650872504,0.0,0.0,0.0,0.0,0.0,0.0,7560921.19845992,5635406.599918793,0,0,0.0,0.0,2035_EB,S_AUTO,Auto-select upgrade (min cost),2035_BB,S_AUTO,Auto-select upgrade (min cost)
8,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,97.0,97.0,5524711.113134676,5524711.113134676,810727.2727272727,581080.8053569493,1.6215461786852643,0.0,2.0001130259629857e-06,0.0,16215.461786852644,0.0,5540926.574921528,5524711.113134676,3,0,0.8629847593392412,0.0,2035_EB,S_AUTO,Auto-select upgrade (min cost),2035_BB,S_AUTO,Auto-select upgrade (min cost)
9,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,150.0,97.0,6831832.368608427,5091992.392069481,843818.1818181818,604798.3892490697,0.0,0.0,0.0,0.0,0.0,0.0,6831832.368608427,5091992.392069481,0,0,0.0,0.0,2035_EB,S_AUTO,Auto-select upgrade (min cost),2035_BB,S_AUTO,Auto-select upgrade (min cost)
