pathway,metric,value,delta_BB_minus_EB,delta_EB_minus_BB
EB,annual_carbon_cost_nzd,0.0,144925.39187503632,-144925.39187503632
EB,annual_co2_tonnes,0.0,1610.282131944848,-1610.282131944848
EB,annual_electricity_MWh,0.0,0.0,0.0
EB,annual_electricity_cost_nzd,0.0,0.0,0.0
EB,annual_fuel_MWh,827272.7272727272,38596.04493618873,-38596.04493618873
EB,annual_fuel_cost_nzd,91000000.0,-14313618.95062089,14313618.95062089
EB,annual_heat_GWh,819.0,0.0,0.0
EB,annual_operational_cost_nzd,91000000.00000058,-14168693.558745846,14168693.558745846
EB,annual_penalty_cost_nzd,5.789502210973296e-07,1.9895196601282805e-09,-1.9895196601282805e-09
EB,annual_system_cost_nzd,5.789502210973296e-07,1.9895196601282805e-09,-1.9895196601282805e-09
EB,annual_total_cost_nzd,91000000.00000116,-14168693.558745846,14168693.558745846
EB,annual_unserved_MWh,0.0,0.0,0.0
EB,annual_unserved_cost_nzd,0.0,0.0,0.0
EB,avg_cost_nzd_per_MWh_heat,111.11111111111254,-17.29999213522082,17.29999213522082
EB,avg_electricity_tariff_nzd_per_MWh,0.0,0.0,0.0
EB,avg_operational_cost_nzd_per_MWh_heat,111.11111111111182,-17.29999213522082,17.29999213522082
EB,online_cost_nzd,0.0,0.0,0.0
EB,reserve_penalty_cost_nzd,0.0,0.0,0.0
EB,reserve_shortfall_MW,0.0,0.0,0.0
EB,reserve_shortfall_MWh,0.0,0.0,0.0
EB,total_penalty_cost_nzd,5.789502210973296e-07,1.9895196601282805e-09,-1.9895196601282805e-09
EB,unserved_MW,2.8947511054866478e-11,9.947598300641726e-14,-9.947598300641726e-14
EB,unserved_MWh,2.8947511054866478e-11,9.947598300641726e-14,-9.947598300641726e-14
EB,unserved_avg_cost_nzd_per_MWh,0.0,0.0,0.0
EB,unserved_cost_nzd,5.789502210973296e-07,1.9895196601282805e-09,-1.9895196601282805e-09
EB,unserved_penalty_cost_nzd,5.789502210973296e-07,1.9895196601282805e-09,-1.9895196601282805e-09
BB,annual_carbon_cost_nzd,144925.39187503632,144925.39187503632,-144925.39187503632
BB,annual_co2_tonnes,1610.282131944848,1610.282131944848,-1610.282131944848
BB,annual_electricity_MWh,0.0,0.0,0.0
BB,annual_electricity_cost_nzd,0.0,0.0,0.0
BB,annual_fuel_MWh,865868.7722089159,38596.04493618873,-38596.04493618873
BB,annual_fuel_cost_nzd,76686381.04937911,-14313618.95062089,14313618.95062089
BB,annual_heat_GWh,819.0,0.0,0.0
BB,annual_operational_cost_nzd,76831306.44125473,-14168693.558745846,14168693.558745846
BB,annual_penalty_cost_nzd,5.809397407574579e-07,1.9895196601282805e-09,-1.9895196601282805e-09
BB,annual_system_cost_nzd,5.809397407574579e-07,1.9895196601282805e-09,-1.9895196601282805e-09
BB,annual_total_cost_nzd,76831306.44125532,-14168693.558745846,14168693.558745846
BB,annual_unserved_MWh,0.0,0.0,0.0
BB,annual_unserved_cost_nzd,0.0,0.0,0.0
BB,avg_cost_nzd_per_MWh_heat,93.81111897589172,-17.29999213522082,17.29999213522082
BB,avg_electricity_tariff_nzd_per_MWh,0.0,0.0,0.0
BB,avg_operational_cost_nzd_per_MWh_heat,93.811118975891,-17.29999213522082,17.29999213522082
BB,online_cost_nzd,0.0,0.0,0.0
BB,reserve_penalty_cost_nzd,0.0,0.0,0.0
BB,reserve_shortfall_MW,0.0,0.0,0.0
BB,reserve_shortfall_MWh,0.0,0.0,0.0
BB,total_penalty_cost_nzd,5.809397407574579e-07,1.9895196601282805e-09,-1.9895196601282805e-09
BB,unserved_MW,2.9046987037872896e-11,9.947598300641726e-14,-9.947598300641726e-14
BB,unserved_MWh,2.9046987037872896e-11,9.947598300641726e-14,-9.947598300641726e-14
BB,unserved_avg_cost_nzd_per_MWh,0.0,0.0,0.0
BB,unserved_cost_nzd,5.809397407574579e-07,1.9895196601282805e-09,-1.9895196601282805e-09
BB,unserved_penalty_cost_nzd,5.809397407574579e-07,1.9895196601282805e-09,-1.9895196601282805e-09
