timestamp_utc,site_id,heat_demand_MW,seasonal_factor,weekday_factor,hourly_factor,weekly_factor,noise_factor
2035-01-01T00:00:00Z,11_031,102.33178520652875,0.98,1.0,0.98,1.0,1.0049671415301122
2035-01-01T01:00:00Z,11_031,101.68521203911918,0.98,1.0,0.98,1.0,0.9986173569882881
2035-01-01T02:00:00Z,11_031,102.485516385472,0.98,1.0,0.98,1.0,1.0064768853810069
2035-01-01T03:00:00Z,11_031,103.9042743099416,0.98,1.0,0.985,1.0,1.0152302985640802
2035-01-01T04:00:00Z,11_031,102.62417990793712,0.98,1.0,0.99,1.0,0.9976584662527667
2035-01-01T05:00:00Z,11_031,103.14250082031005,0.98,1.0,0.995,1.0,0.9976586304305082
2035-01-01T06:00:00Z,11_031,104.48949979886319,0.98,1.0,0.99,1.0,1.015792128155074
2035-01-01T07:00:00Z,11_031,104.69100856970744,0.98,1.0,0.9999,1.0,1.007674347291529
2035-01-01T08:00:00Z,11_031,104.42975918823814,0.98,1.0,1.0098,1.0,0.9953052561406505
2035-01-01T09:00:00Z,11_031,106.52584088565682,0.98,1.0,1.0197,1.0,1.0054256004358597
2035-01-01T10:00:00Z,11_031,105.97711034726007,0.98,1.0,1.0247,1.0,0.9953658230718754
2035-01-01T11:00:00Z,11_031,106.48140751961844,0.98,1.0,1.0296,1.0,0.9953427024642975
2035-01-01T12:00:00Z,11_031,107.23849392554025,0.98,1.0,1.0296,1.0,1.0024196227156603
2035-01-01T13:00:00Z,11_031,104.93282316404824,0.98,1.0,1.0296,1.0,0.980867197553422
2035-01-01T14:00:00Z,11_031,104.63398467015433,0.98,1.0,1.0247,1.0,0.9827508216748697
2035-01-01T15:00:00Z,11_031,105.35524390966133,0.98,1.0,1.0197,1.0,0.9943771247075903
2035-01-01T16:00:00Z,11_031,105.42300256243927,0.98,1.0,1.025,1.0,0.9898716887966558
2035-01-01T17:00:00Z,11_031,106.3152104804706,0.98,1.0,1.02,1.0,1.0031424733259526
2035-01-01T18:00:00Z,11_031,105.0301168487063,0.98,1.0,1.0201,1.0,0.9909197592447879
2035-01-01T19:00:00Z,11_031,103.98343478267007,0.98,1.0,1.0151,1.0,0.9858769629866471
2035-01-01T20:00:00Z,11_031,106.48122112700578,0.98,1.0,1.01,1.0,1.0146564876892155
2035-01-01T21:00:00Z,11_031,104.18783936747776,0.98,1.0,1.005,1.0,0.9977422369951346
2035-01-01T22:00:00Z,11_031,102.93450479092735,0.98,1.0,0.99,1.0,1.0006752820468792
2035-01-01T23:00:00Z,11_031,100.88735550069634,0.98,1.0,0.985,1.0,0.9857525181378655
2035-01-02T00:00:00Z,11_031,101.27167788909911,0.98,1.0,0.98,1.0,0.9945561727547482
2035-01-02T01:00:00Z,11_031,101.93894908523889,0.98,1.0,0.98,1.0,1.0011092258970986
2035-01-02T02:00:00Z,11_031,100.65399031567155,0.98,1.0,0.98,1.0,0.988490064225777
2035-01-02T03:00:00Z,11_031,102.73003155738415,0.98,1.0,0.985,1.0,1.0037569801834567
2035-01-02T04:00:00Z,11_031,102.24719463499594,0.98,1.0,0.99,1.0,0.9939936131008119
2035-01-02T05:00:00Z,11_031,103.08299598196093,0.98,1.0,0.995,1.0,0.9970830625020672
2035-01-02T06:00:00Z,11_031,102.24609611626396,0.98,1.0,0.99,1.0,0.993982933877706
2035-01-02T07:00:00Z,11_031,105.81809249108281,0.98,1.0,0.9999,1.0,1.0185227818450895
2035-01-02T08:00:00Z,11_031,104.90818110799954,0.98,1.0,1.0098,1.0,0.9998650277526206
2035-01-02T09:00:00Z,11_031,104.83033789745927,0.98,1.0,1.0197,1.0,0.989422890710441
2035-01-02T10:00:00Z,11_031,107.34628133670597,0.98,1.0,1.0247,1.0,1.0082254491210318
2035-01-02T11:00:00Z,11_031,105.67358936485317,0.98,1.0,1.0296,1.0,0.9877915635002897
2035-01-02T12:00:00Z,11_031,107.20308507933528,0.98,1.0,1.0296,1.0,1.0020886359500476
2035-01-02T13:00:00Z,11_031,104.88319543661335,0.98,1.0,1.0296,1.0,0.9804032987612022
2035-01-02T14:00:00Z,11_031,105.05638703756368,0.98,1.0,1.0247,1.0,0.9867181395110157
2035-01-02T15:00:00Z,11_031,106.15956956563831,0.98,1.0,1.0197,1.0,1.0019686123586913
2035-01-02T16:00:00Z,11_031,107.28816411861942,0.98,1.0,1.025,1.0,1.0073846657999541
2035-01-02T17:00:00Z,11_031,106.16378416938002,0.98,1.0,1.02,1.0,1.0017136828118998
2035-01-02T18:00:00Z,11_031,105.86997619518122,0.98,1.0,1.0201,1.0,0.9988435171761176
2035-01-02T19:00:00Z,11_031,105.1554511464357,0.98,1.0,1.0151,1.0,0.9969889630441071
2035-01-02T20:00:00Z,11_031,103.39151637018233,0.98,1.0,1.01,1.0,0.9852147800963257
2035-01-02T21:00:00Z,11_031,103.67191585620304,0.98,1.0,1.005,1.0,0.992801557916053
2035-01-02T22:00:00Z,11_031,102.39120561025797,0.98,1.0,0.99,1.0,0.9953936122904021
2035-01-02T23:00:00Z,11_031,103.42743871629618,0.98,1.0,0.985,1.0,1.0105712222621892
2035-01-03T00:00:00Z,11_031,102.17589381101527,0.98,1.0,0.98,1.0,1.0034361828956846
2035-01-03T01:00:00Z,11_031,100.03076776080442,0.98,1.0,0.98,1.0,0.9823695984463726
2035-01-03T02:00:00Z,11_031,102.15600279395055,0.98,1.0,0.98,1.0,1.003240839693948
2035-01-03T03:00:00Z,11_031,101.9514069934407,0.98,1.0,0.985,1.0,0.9961491771958368
2035-01-03T04:00:00Z,11_031,102.16872577582265,0.98,1.0,0.99,1.0,0.9932307799969404
2035-01-03T05:00:00Z,11_031,104.01694114224746,0.98,1.0,0.995,1.0,1.0061167628884087
2035-01-03T06:00:00Z,11_031,103.92557996544322,0.98,1.0,0.99,1.0,1.0103099952249595
2035-01-03T07:00:00Z,11_031,104.86123359499324,0.98,1.0,0.9999,1.0,1.009312801191162
2035-01-03T08:00:00Z,11_031,104.0418160265776,0.98,1.0,1.0098,1.0,0.9916078247677736
2035-01-03T09:00:00Z,11_031,105.62337954804592,0.98,1.0,1.0197,1.0,0.9969078762414878
2035-01-03T10:00:00Z,11_031,106.82321142125531,0.98,1.0,1.0247,1.0,1.0033126343140357
2035-01-03T11:00:00Z,11_031,108.02327824955758,0.98,1.0,1.0296,1.0,1.0097554512712237
2035-01-03T12:00:00Z,11_031,106.46702465826388,0.98,1.0,1.0296,1.0,0.9952082576215471
2035-01-03T13:00:00Z,11_031,106.78102623844036,0.98,1.0,1.0296,1.0,0.9981434102333618
2035-01-03T14:00:00Z,11_031,105.29259301630594,0.98,1.0,1.0247,1.0,0.9889366502599397
2035-01-03T15:00:00Z,11_031,104.6836003330307,0.98,1.0,1.0197,1.0,0.9880379337591932
