timestamp_utc,site_id,heat_demand_MW,seasonal_factor,weekday_factor,hourly_factor,weekly_factor,noise_factor
2020-01-01T00:00:00Z,11_031,102.12654848359253,0.98,1.0,0.98,1.0,1.0049671415301122
2020-01-01T01:00:00Z,11_031,101.48127208392475,0.98,1.0,0.98,1.0,0.9986173569882881
2020-01-01T02:00:00Z,11_031,102.27997133914127,0.98,1.0,0.98,1.0,1.0064768853810069
2020-01-01T03:00:00Z,11_031,103.69588380140702,0.98,1.0,0.985,1.0,1.0152302985640802
2020-01-01T04:00:00Z,11_031,102.41835675791765,0.98,1.0,0.99,1.0,0.9976584662527667
2020-01-01T05:00:00Z,11_031,102.93563812538994,0.98,1.0,0.995,1.0,0.9976586304305082
2020-01-01T06:00:00Z,11_031,104.27993556154745,0.98,1.0,0.99,1.0,1.015792128155074
2020-01-01T07:00:00Z,11_031,104.48104018621476,0.98,1.0,0.9999,1.0,1.007674347291529
2020-01-01T08:00:00Z,11_031,104.22031476674626,0.98,1.0,1.0098,1.0,0.9953052561406505
2020-01-01T09:00:00Z,11_031,106.3121925607764,0.98,1.0,1.0197,1.0,1.0054256004358597
2020-01-01T10:00:00Z,11_031,105.76456255685432,0.98,1.0,1.0247,1.0,0.9953658230718754
2020-01-01T11:00:00Z,11_031,106.26784831033798,0.98,1.0,1.0296,1.0,0.9953427024642975
2020-01-01T12:00:00Z,11_031,107.02341630306475,0.98,1.0,1.0296,1.0,1.0024196227156603
2020-01-01T13:00:00Z,11_031,104.72236979698178,0.98,1.0,1.0296,1.0,0.980867197553422
2020-01-01T14:00:00Z,11_031,104.42413065384727,0.98,1.0,1.0247,1.0,0.9827508216748697
2020-01-01T15:00:00Z,11_031,105.14394333515725,0.98,1.0,1.0197,1.0,0.9943771247075903
2020-01-01T16:00:00Z,11_031,105.21156609111858,0.98,1.0,1.025,1.0,0.9898716887966558
2020-01-01T17:00:00Z,11_031,106.10198459612538,0.98,1.0,1.02,1.0,1.0031424733259526
2020-01-01T18:00:00Z,11_031,104.819468349336,0.98,1.0,1.0201,1.0,0.9909197592447879
2020-01-01T19:00:00Z,11_031,103.77488550981826,0.98,1.0,1.0151,1.0,0.9858769629866471
2020-01-01T20:00:00Z,11_031,106.26766229155452,0.98,1.0,1.01,1.0,1.0146564876892155
2020-01-01T21:00:00Z,11_031,103.97888014060186,0.98,1.0,1.005,1.0,0.9977422369951346
2020-01-01T22:00:00Z,11_031,102.72805925303591,0.98,1.0,0.99,1.0,1.0006752820468792
2020-01-01T23:00:00Z,11_031,100.68501572731238,0.98,1.0,0.985,1.0,0.9857525181378655
2020-01-02T00:00:00Z,11_031,101.06856731837796,0.98,1.0,0.98,1.0,0.9945561727547482
2020-01-02T01:00:00Z,11_031,101.73450023479039,0.98,1.0,0.98,1.0,1.0011092258970986
2020-01-02T02:00:00Z,11_031,100.45211857971823,0.98,1.0,0.98,1.0,0.988490064225777
2020-01-02T03:00:00Z,11_031,102.52399611119878,0.98,1.0,0.985,1.0,1.0037569801834567
