future_id,EB_site_cost_nzd,BB_site_cost_nzd,EB_site_co2_tonnes,BB_site_co2_tonnes,EB_site_electricity_MWh,BB_site_electricity_MWh,EB_upgrade_name,BB_upgrade_name,EB_upgrade_cost_nzd,BB_upgrade_cost_nzd,EB_shed_fraction,BB_shed_fraction,EB_shed_MWh,BB_shed_MWh,EB_rdm_cost_nzd,BB_rdm_cost_nzd,EB_system_cost_nzd,BB_system_cost_nzd,winner_system_cost,regret_EB_nzd,regret_BB_nzd
0,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7032106.769400966,5241263.57879352,0.0,0.0,0.0,0.0,7032106.769400966,5241263.57879352,98032106.76940213,82072570.02004884,82072570.02004884,15959536.74935329,0.0
1,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,4905822.709750735,4905822.709750735,0.0,0.0,0.0,0.0,4905822.709750735,4905822.709750735,95905822.7097519,81737129.15100606,81737129.15100606,14168693.558745846,0.0
2,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7425904.748487421,5534774.339205958,0.0,0.0,0.0,0.0,7425904.748487421,5534774.339205958,98425904.74848859,82366080.78046128,82366080.78046128,16059823.968027309,0.0
3,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,9451151.498074898,7044258.249898491,0.0,0.0,0.0,0.0,9451151.498074898,7044258.249898491,100451151.49807607,83875564.69115381,83875564.69115381,16575586.806922257,0.0
4,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5241263.57879352,5241263.57879352,6.754848630448744e-05,0.0,55.88102048825779,0.0,6358883.988558676,5241263.57879352,97358883.98855984,82072570.02004884,82072570.02004884,15286313.968511,0.0
5,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,8733876.607596003,6509649.364861553,0.0,0.0,0.0,0.0,8733876.607596003,6509649.364861553,99733876.60759717,83340955.80611686,83340955.80611686,16392920.801480308,0.0
6,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,4580864.367865536,4580864.367865536,0.0,0.0,0.0,0.0,4580864.367865536,4580864.367865536,95580864.3678667,81412170.80912085,81412170.80912085,14168693.558745846,0.0
7,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7560921.19845992,5635406.599918793,0.0,0.0,0.0,0.0,7560921.19845992,5635406.599918793,98560921.19846109,82466713.04117411,82466713.04117411,16094208.157286972,0.0
8,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5524711.113134676,5524711.113134676,2.0001130259629857e-06,0.0,1.6215461786852643,0.0,5540926.574921528,5524711.113134676,96540926.5749227,82356017.55439,82356017.55439,14184909.020532697,0.0
9,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,6831832.368608427,5091992.392069481,0.0,0.0,0.0,0.0,6831832.368608427,5091992.392069481,97831832.36860959,81923298.83332479,81923298.83332479,15908533.535284802,0.0
10,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7434905.845152255,5541483.156586814,0.0,0.0,0.0,0.0,7434905.845152255,5541483.156586814,98434905.84515342,82372789.59784213,82372789.59784213,16062116.247311294,0.0
11,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5484877.509935844,5484877.509935844,6.498738211769933e-06,0.0,5.214942017753927,0.0,5537026.930113383,5484877.509935844,96537026.93011454,82316183.95119116,82316183.95119116,14220842.97892338,0.0
12,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,6089241.893759686,4538514.9581488855,0.0,0.0,0.0,0.0,6089241.893759686,4538514.9581488855,97089241.89376085,81369821.3994042,81369821.3994042,15719420.494356647,0.0
13,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,8563418.33950572,6382601.135711597,0.0,0.0,0.0,0.0,8563418.33950572,6382601.135711597,99563418.33950688,83213907.57696691,83213907.57696691,16349510.762539968,0.0
14,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5377955.732928456,5377955.732928456,5.5583362209411615e-06,0.0,4.552277364950811,0.0,5423478.506577964,5377955.732928456,96423478.50657913,82209262.17418377,82209262.17418377,14214216.33239536,0.0
15,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,6875712.714849489,5124697.876801153,0.0,0.0,0.0,0.0,6875712.714849489,5124697.876801153,97875712.71485065,81956004.31805646,81956004.31805646,15919708.396794185,0.0
16,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7952468.903380165,5927240.155986016,0.0,0.0,0.0,0.0,7952468.903380165,5927240.155986016,98952468.90338133,82758546.59724133,82758546.59724133,16193922.306140006,0.0
17,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5547772.672881366,5547772.672881366,4.041614995571848e-07,0.0,0.3209777145574151,0.0,5554192.227172514,5547772.672881366,96554192.22717367,82379079.11413668,82379079.11413668,14175113.11303699,0.0
18,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7163185.239582601,5338960.731902231,0.0,0.0,0.0,0.0,7163185.239582601,5338960.731902231,98163185.23958376,82170267.17315754,82170267.17315754,15992918.066426218,0.0
19,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5242102.180966128,5242102.180966128,1.5817976014901662e-05,0.0,13.08578015778228,0.0,5438388.883332862,5242102.180966128,96438388.88333403,82073408.62222144,82073408.62222144,14364980.261112586,0.0
20,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7306077.649136828,5445463.207823317,0.0,0.0,0.0,0.0,7306077.649136828,5445463.207823317,98306077.64913799,82276769.64907864,82276769.64907864,16029308.000059351,0.0
