future_id,EB_site_cost_nzd,BB_site_cost_nzd,EB_site_co2_tonnes,BB_site_co2_tonnes,EB_site_electricity_MWh,BB_site_electricity_MWh,EB_upgrade_name,BB_upgrade_name,EB_upgrade_cost_nzd,BB_upgrade_cost_nzd,EB_shed_fraction,BB_shed_fraction,EB_shed_MWh,BB_shed_MWh,EB_rdm_cost_nzd,BB_rdm_cost_nzd,EB_system_cost_nzd,BB_system_cost_nzd,P_elec_mult,P_biomass_mult,ETS_mult,EB_site_cost_future_nzd,BB_site_cost_future_nzd,EB_system_cost_future_nzd,BB_system_cost_future_nzd,winner_system_cost_future,winner_system_cost_future_nzd,regret_EB_future_nzd,regret_BB_future_nzd,delta_site_cost_future_nzd,delta_upgrade_cost_nzd,delta_system_cost_future_nzd
0,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7032106.769400966,5241263.57879352,0.0,0.0,0.0,0.0,7032106.769400966,5241263.57879352,98032106.76940213,82072570.02004884,0.9529229755525384,1.158760609662638,0.8908473723761585,86715990.77528216,75564842.8354484,93748097.54468313,80806106.41424192,BB,80806106.41424192,12941991.130441204,0.0,11151147.93983376,1790843.1906074462,12941991.130441204
1,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,4905822.709750735,4905822.709750735,0.0,0.0,0.0,0.0,4905822.709750735,4905822.709750735,95905822.7097519,81737129.15100606,1.2401137181920758,1.2866001767567516,1.6701280286149465,112850348.35548006,95874752.54964443,117756171.0652308,100780575.25939517,BB,100780575.25939517,16975595.805835634,0.0,16975595.805835634,0.0,16975595.805835634
2,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7425904.748487421,5534774.339205958,0.0,0.0,0.0,0.0,7425904.748487421,5534774.339205958,98425904.74848859,82366080.78046128,1.0937550307689814,1.3519724019218349,1.0568859973046845,99531707.79997846,86989236.95186833,106957612.5484659,92524011.29107428,BB,92524011.29107428,14433601.257391617,0.0,12542470.84811014,1891130.4092814634,14433601.257391617
3,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,9451151.498074898,7044258.249898491,0.0,0.0,0.0,0.0,9451151.498074898,7044258.249898491,100451151.49807607,83875564.69115381,1.0364259714649091,1.4363391363650888,1.3636249071693474,94314763.40330788,84261595.59674324,103765914.90138279,91305853.84664173,BB,91305853.84664173,12460061.054741055,0.0,10053167.806564644,2406893.248176407,12460061.054741055
4,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5241263.57879352,5241263.57879352,6.754848630448744e-05,0.0,55.88102048825779,0.0,6358883.988558676,5241263.57879352,97358883.98855984,82072570.02004884,0.8455110403746984,1.8315435688823605,1.091183897208733,76941504.67409872,76300237.94385414,83300388.6626574,81541501.52264766,BB,81541501.52264766,1758887.140009731,0.0,641266.7302445769,0.0,1758887.140009731
5,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,8733876.607596003,6509649.364861553,0.0,0.0,0.0,0.0,8733876.607596003,6509649.364861553,99733876.60759717,83340955.80611686,0.8454959270224566,1.2097757818461894,1.2411071389276171,76940129.35904472,69193639.98271045,85674005.96664071,75703289.347572,BB,75703289.347572,9970716.619068712,0.0,7746489.376334265,2224227.24273445,9970716.619068712
6,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,4580864.367865536,4580864.367865536,0.0,0.0,0.0,0.0,4580864.367865536,4580864.367865536,95580864.3678667,81412170.80912085,0.7692915964400212,1.4948172464175045,1.2624719227120471,70005535.27604309,67493871.65571597,74586399.64390862,72074736.0235815,BB,72074736.0235815,2511663.620327115,0.0,2511663.620327115,0.0,2511663.620327115
7,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7560921.19845992,5635406.599918793,0.0,0.0,0.0,0.0,7560921.19845992,5635406.599918793,98560921.19846109,82466713.04117411,1.168928621021596,1.579251556196291,1.0109728753116185,106372504.5129664,94490963.49729046,113933425.71142632,100126370.09720926,BB,100126370.09720926,13807055.614217058,0.0,11881541.015675932,1925514.5985411266,13807055.614217058
8,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5524711.113134676,5524711.113134676,2.0001130259629857e-06,0.0,1.6215461786852643,0.0,5540926.574921528,5524711.113134676,96540926.5749227,82356017.55439,1.037387104995789,1.0493191150040708,1.80895433351544,94402226.55461796,79952403.17824349,99943153.12953949,85477114.29137817,BB,85477114.29137817,14466038.83816132,0.0,14449823.376374468,0.0,14466038.83816132
9,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,6831832.368608427,5091992.392069481,0.0,0.0,0.0,0.0,6831832.368608427,5091992.392069481,97831832.36860959,81923298.83332479,1.0825636179575246,1.596503066942113,1.4805381515773632,98513289.23413591,89123754.61873396,105345121.60274434,94215747.01080343,BB,94215747.01080343,11129374.59194091,0.0,9389534.615401953,1739839.976538946,11129374.59194091
