future_id,U_headroom_mult,U_inc_mult,U_upgrade_capex_mult,U_voll,U_consents_uplift,P_elec_mult,P_biomass_mult,D_heat_mult,ETS_mult
0,0.85,1.0,1.0,10000.0,1.25,0.9529229755525385,1.158760609662638,1.001772203019735,0.8908473723761585
1,0.9,0.95,0.9,10000.0,1.3,1.2401137181920758,1.2866001767567516,0.9959021657730368,1.6701280286149465
2,0.95,1.05,1.1,15000.0,1.2,1.0937550307689814,1.3519724019218347,1.0171775468086928,1.0568859973046845
3,0.8,1.1,1.2,15000.0,1.4,1.0364259714649091,1.4363391363650888,0.9825104858055169,1.3636249071693474
4,0.9,1.0,1.0,20000.0,1.25,0.8455110403746984,1.8315435688823603,1.0455294089559384,1.091183897208733
5,0.85,1.05,1.15,10000.0,1.35,0.8454959270224566,1.2097757818461894,0.9736459262368443,1.2411071389276171
6,0.95,0.95,0.95,15000.0,1.15,0.7692915964400212,1.4948172464175045,1.0859751666322826,1.2624719227120473
7,0.88,1.08,1.05,15000.0,1.28,1.168928621021596,1.579251556196291,1.0415506333605733,1.0109728753116185
8,0.92,0.98,1.08,10000.0,1.22,1.037387104995789,1.0493191150040708,0.9886052795807295,1.80895433351544
9,0.87,1.02,0.92,20000.0,1.32,1.0825636179575246,1.596503066942113,0.9564355169510318,1.4805381515773632
10,0.93,1.03,1.12,15000.0,1.18,0.7210154990299413,1.186097150230302,1.0473874675274275,1.7305537713699206
11,0.86,0.97,1.03,10000.0,1.27,1.2641391461706128,1.0767053044844273,1.0336890669475558,1.6447435018373042
12,0.91,1.06,0.88,15000.0,1.23,1.147388171609117,2.1739354626564444,1.0362434906900857,1.3053633860595184
13,0.89,1.01,1.18,20000.0,1.29,0.8780856902924374,2.232632516552748,1.041425732614818,1.6938122831133493
14,0.94,0.99,1.06,10000.0,1.21,0.8610618794707838,1.8687048899937837,0.9735655445090003,0.9457333197743766
15,0.88,1.04,0.97,15000.0,1.26,0.8619766612485706,1.2973348927821224,1.001903037397502,1.017747198987437
16,0.92,1.07,1.14,15000.0,1.24,0.9230189545161411,1.1165239356816337,0.9794791103400098,0.904185168515145
17,0.86,0.96,1.01,20000.0,1.31,1.008774745585703,1.6895709131239713,1.0546850067652427,1.1002202474582556
18,0.9,1.09,1.07,10000.0,1.19,0.9753098977395529,1.4208879515909252,1.0248300053373247,1.1435029174757094
19,0.95,1.0,0.94,15000.0,1.33,0.9171163404745586,1.142029652574832,0.9998170170362987,1.06491649470685
20,0.87,1.02,1.11,15000.0,1.17,1.0416235404687688,1.4752892959627297,0.9718331772114178,1.5466623895840046
